url1,url,name,adresse,rating,rater,latlong,description,city
https://www.booking.com/searchresults.fr.html?ss=amiens&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/le-perret-cathedrale-b-amp-b-inn-centre-ville-wifi-netflix.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=48e653a2a43e0002&srepoch=1661082822&from=searchresults,Appartement,"1er étage 14 Rue Grainville, 80000 Amiens, France",8.5,11,"['49.89798420,2.30115360']","L'ÉTABLISSEMENT LE PERRET-CATHEDRALE B&B INN Centre-Ville WIFI NETFLIX est situé à Amiens, à 1,9 km du Zénith d'Amiens, à 600 mètres du musée Berny et à 700 mètres du parc des jardins flottants.  Cet appartement comprend une chambre, une télévision à écran plat ainsi qu'une cuisine entièrement équipée avec un lave-vaisselle, un micro-ondes, un lave-linge, un réfrigérateur et un four. Les serviettes et le linge de lit sont fournis.  Vous séjournerez à 600 mètres du tribunal de grande instance d'Amiens et à 3,6 km de l'université de Picardie Jules Verne. L'aéroport le plus proche, celui de Beauvais-Tillé, est situé à 51 km. ",amiens
https://www.booking.com/searchresults.fr.html?ss=amiens&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/aux-caves.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=48e653a2a43e0002&srepoch=1661082822&from=searchresults,Appart'hôtel,"54 rue Jules Barni, 80000 Amiens, France",8.9,126,"['49.88833910,2.31217084']"," Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Parenthèse Envoutée !  Connectez-vous ou inscrivez-vous  pour économiser.  Situé à Amiens, à 3,4 km du Zénith et à 1,7 km du parc des jardins flottants, l'établissement La Parenthèse Envoutée propose des hébergements avec connexion Wi-Fi gratuite et accès à un jacuzzi. Vous profiterez également d'une baignoire spa.  Tous les logements disposent d'une kitchenette entièrement équipée avec un micro-ondes, d'un coin salon, d'une télévision à écran plat ainsi que d'une salle de bains privative avec un jacuzzi et des peignoirs. Pour plus de commodité, l'établissement peut fournir des serviettes et du linge de lit moyennant des frais supplémentaires.  Vous séjournerez à 2,2 km du musée Berny et du tribunal de grande instance d'Amiens. L'aéroport le plus proche, celui de Beauvais-Tillé, est situé à 64 km. ",amiens
https://www.booking.com/searchresults.fr.html?ss=amiens&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/le-cyan-studio-proche-gare-et-centre-ville.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=48e653a2a43e0002&srepoch=1661082822&from_sustainable_property_sr=1&from=searchresults,Appartements,"71 Rue Vulfran Warmé, 80000 Amiens, France",9.2,24,"['49.88701191,2.30715954']"," Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Cyan, Studio proche gare et centre ville !  Connectez-vous ou inscrivez-vous  pour économiser.  Situé à Amiens, à 2,6 km du Zénith et à 700 mètres du musée Berny, le Studio proche gare et centre ville propose des hébergements avec une connexion Wi-Fi gratuite et une télévision à écran plat. Vous séjournerez à 3,3 km de l'université de Picardie Jules Verne.  La kitchenette est équipée d'un four micro-ondes, d'un réfrigérateur et d'un four. Elle comprend une douche, des peignoirs et un sèche-cheveux.  Vous séjournerez à 1,1 km du parc des jardins flottants et à 700 mètres du tribunal de grande instance d'Amiens. L'aéroport de Beauvais-Tillé, le plus proche, est à 50 km. ",amiens
https://www.booking.com/searchresults.fr.html?ss=amiens&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/au-spatial.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=48e653a2a43e0002&srepoch=1661082822&from_sustainable_property_sr=1&from=searchresults,Hôtel,"15 rue Fatton, 80000 Amiens, France",7.3,362,"['49.89193885,2.30575562']","L'établissement Au Spatial est situé au cœur d'Amiens. La gare et la cathédrale de la ville se trouvent respectivement à 2 minutes et 6 minutes de marche. Une connexion Wi-Fi est disponible gratuitement.  Toutes les chambres comportent une télévision à écran plat avec les chaînes Canal + et BBC. Leur salle de bains privative est pourvue d'une douche ou d'une baignoire.  Un petit-déjeuner buffet est servi chaque matin dans la salle prévue à cette effet. Le buffet comprend des confitures maison, des céréales, des viennoiseries, du pain, du fromage, de la charcuterie et des yaourts.  Le zoo d'Amiens est situé à 3 km de l'hôtel Au Spatial. Un parking privé est à votre disposition sur place, moyennant un supplément journalier et sous réserve de disponibilité. ",amiens
https://www.booking.com/searchresults.fr.html?ss=amiens&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/gite-amiens.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=48e653a2a43e0002&srepoch=1661082822&from=searchresults,Maison de vacances,"6 Rue Charles Labbé, 80000 Amiens, France",8.5,98,"['49.90235783,2.31428465']"," Vous pouvez bénéficier d'une réduction Genius dans l'établissement Gite Amiens !  Connectez-vous ou inscrivez-vous  pour économiser.  Situé à Amiens, à seulement 5 minutes à pied du parc Saint-Pierre, le Gite Amiens dispose d'une terrasse avec mobilier de jardin. La gare d'Amiens est idéalement située à 1,4 km.  Cette maison de vacances mitoyenne dispose d'un coin salon, d'une télévision, d'une salle de bains avec douche et de 3 chambres. La cuisine est entièrement équipée avec un four, un four micro-ondes et un lave-vaisselle.  Vous trouverez des épiceries et des restaurants à quelques minutes de marche. Une connexion Wi-Fi est disponible gratuitement. Le centre-ville est à 2 km et la salle de concert Zénith d'Amiens à 3 km. ",amiens
https://www.booking.com/searchresults.fr.html?ss=amiens&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/appart-cosy-tout-confort-centre-ville-3-personnes.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=48e653a2a43e0002&srepoch=1661082822&from=searchresults,Appartement,"34 Route de Paris, 80000 Amiens, France",9.2,23,"['49.88889340,2.28837950']"," Vous pouvez bénéficier d'une réduction Genius dans l'établissement APPART COSY TOUT CONFORT CENTRE VILLE 4 PERSONNES WiFi !  Connectez-vous ou inscrivez-vous  pour économiser.  L'APPART COSY TOUT CONFORT CENTRE VILLE 4 PERSONNES WiFi est situé à Amiens, à 1,3 km du Zénith, à 1,1 km du musée Berny et à 1,8 km du parc des jardins flottants. Il possède un restaurant sur place et met gratuitement à votre disposition un parking privé et une connexion Wi-Fi.  Cet appartement comprend 3 chambres, un lave-linge et une salle de bains pourvue d'un sèche-cheveux. Sa cuisine est équipée d'un micro-ondes et d'un réfrigérateur. Les serviettes et le linge de lit sont fournis.  Vous séjournerez à 1 km du tribunal de grande instance d'Amiens et à 2,2 km de l'université de Picardie Jules Verne. L'aéroport de Beauvais-Tillé, le plus proche, est à 49 km. ",amiens
https://www.booking.com/searchresults.fr.html?ss=rouen&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/maison-hypercentre-rouen-tout-confort.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=a09f53a287670228&srepoch=1661082822&from=searchresults,Appartement,"20 Rue Dinanderie, 76000 Rouen, France",8.6,150,"['49.44465180,1.09132620']"," Vous pouvez bénéficier d'une réduction Genius dans l'établissement Maison hypercentre Rouen tout confort !  Connectez-vous  pour économiser.  Située dans le centre de Rouen, à seulement 700 mètres de la cathédrale Notre-Dame, la Maison hypercentre Rouen tout confort offre une vue sur la ville et propose une connexion Wi-Fi gratuite.  Cet appartement comprend 2 chambres, une télévision par satellite à écran plat, une cuisine équipée d'un lave-vaisselle et d'un micro-ondes ainsi qu'une salle de bains pourvue d'une douche.  Enfin, l'aéroport de Deauville-Normandie, le plus proche, est implanté à 68 km de la Maison hypercentre Rouen tout confort. ",rouen
https://www.booking.com/searchresults.fr.html?ss=dijon&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/ethic-etapes-dijon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=05b653a3a8c20091&srepoch=1661082824&from_sustainable_property_sr=1&from=searchresults,Hôtel,"1 avenue Champollion, 21000 Dijon, France",6.9,1872,"['47.33639883,5.06139278']","Situé à Dijon, l’hôtel ETHIC ETAPES DIJON Accueil 24h24 et parking gratuit propose une connexion Wi-Fi gratuite et une réception ouverte 24h/24. Ce logement se trouve à 4 km de la gare de Dijon-Ville et à 800 mètres de la route menant à l'autoroute A6.  Décorées dans un style sobre, toutes les chambres doubles ou simples disposent d’une salle de bains privative pourvue d’une douche.  L’hôtel ETHIC ETAPES DIJON Accueil 24h24 et parking gratuit sert tous les matins un petit-déjeuner continental. Vous pourrez profiter d’une cafétéria en libre-service ouverte plusieurs jours par semaine, ainsi que d’un distributeur automatique de boissons.  L’hôtel Ethic Etapes se trouve à 10 minutes à pied du centre de conventions de Dijon, à seulement 200 mètres d’une piscine et à 600 mètres d'un magasin IKEA. De nombreux musées gratuits se trouvent dans la ville. ",dijon
https://www.booking.com/searchresults.fr.html?ss=chateau-haut-koenigsbourg&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/les-chambres-du-haut-koenigsbourg.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b6d953a3debe006a&srepoch=1661082824&from=searchresults,B&B / Chambre d'hôtes,"Route du Haut-Koenigsbourg, 67600 Orschwiller, France",8.7,205,"['48.24702280,7.34632093']"," Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Chambres du Haut-Koenigsbourg !  Connectez-vous  pour économiser.  Situé à Orschwiller, en Alsace, l'établissement Les Chambres du Haut-Koenigsbourg propose des hébergements avec connexion Wi-Fi et parking privé gratuits.  Leur salle de bains privative est pourvue d'une douche et d'un sèche-cheveux.  Cette chambre d'hôtes sert un petit-déjeuner continental.  Lors de votre séjour à l'établissement Les Chambres du Haut-Koenigsbourg, vous pourrez faire de la randonnée et du vélo dans les environs ou profiter de la terrasse bien exposée.  Vous séjournerez à 25 km de Colmar et à 39 km de Rust. L'aéroport international de Strasbourg, le plus proche, est à 54 km. du Haut-Koenigsbourg. ",chateau-haut-koenigsbourg
https://www.booking.com/searchresults.fr.html?ss=lyon&rows=25&offset=0&order=popularity,https://www.booking.com/hotel/fr/b-amp-b-lyon-centre-perrache-berthelot.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=cef753a4321200dc&srepoch=1661082825&from=searchresults,Hôtel,"43 Rue Raulin, 7e arr., 69007 Lyon, France",7.9,2405,"['45.74780870,4.83553970']","Ouvert en décembre 2017, le B&B HOTEL LYON Centre Perrache Berthelot se situe à 9 minutes de marche de l'arrêt de transports en commun le plus proche. Cet établissement propose des hébergements dotés d'une connexion Wi-Fi gratuite. Les tramways, les bus et les métros offrent un accès facile au centre-ville de Lyon ainsi qu'à la gare et au quartier de la Part-Dieu. Un parking couvert privé est disponible sur place, moyennant des frais supplémentaires.  Toutes les chambres climatisées de l'hôtel comprennent un bureau, une armoire, une télévision par satellite à écran plat et une salle de bains privative.  Chaque matin, l'établissement sert un petit-déjeuner buffet.  Parlant anglais et français, le personnel de la réception pourra vous fournir des informations pratiques sur la région.  Le musée des Confluences est à 5 arrêts de tramway. Vous rejoindrez la place Bellecour en moins de 20 minutes à pied. La salle de conférences et de concerts Halle Tony Garnier se trouve à 2,2 km. L'aéroport de Lyon-Saint-Exupéry, le plus proche, est à 30 km. ",lyon
